fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-07T11:23:28.244Z,0.132516,127.606,True,True,1,1,False,2x2,3,69.9,85.7,33.88,9.00,60.44,-25.45,-13.21,80.80,66.54,63.35,20.36,True,FN
1,2026-04-07T11:23:28.601Z,0.000479,129.785,False,False,1,2,False,2x4,0,70.5,87.8,32.18,11.13,61.76,-27.68,-10.14,82.67,66.88,63.53,20.91,True,FN
2,2026-04-07T11:23:29.114Z,0.000029,73.174,True,False,1,3,False,1d:8,1,66.7,88.2,28.25,9.68,59.60,-27.32,-8.19,83.49,63.07,58.37,23.89,True,FN
3,2026-04-07T11:23:34.615Z,0.000085,72.278,False,False,1,4,False,3x3,1,67.6,83.5,26.94,16.50,59.72,-18.86,1.43,81.31,52.83,48.22,21.59,False,TN
4,2026-04-07T11:23:37.102Z,0.000059,128.051,True,True,2,5,True,1d:8,3,68.4,76.0,32.29,20.54,56.71,-7.54,11.54,74.71,44.63,40.83,18.00,True,TP
5,2026-04-07T11:23:39.111Z,0.000020,73.859,False,False,1,5,False,2x2,1,67.5,75.1,35.43,10.92,56.37,0.56,8.96,74.57,39.38,34.93,18.20,False,TN
6,2026-04-07T11:23:43.611Z,0.000009,70.926,False,False,1,5,False,2x2,1,63.9,82.9,30.94,10.55,54.89,7.59,31.51,76.33,38.00,31.38,21.44,False,TN
7,2026-04-07T11:23:48.510Z,0.000009,133.311,False,False,1,5,False,2x2,0,58.9,90.3,29.73,7.65,50.20,15.50,40.56,79.16,46.09,35.85,28.96,True,FN
8,2026-04-07T11:23:50.501Z,0.000017,135.945,False,False,1,5,False,3x3,2,55.6,74.6,30.37,6.05,46.22,-3.21,29.97,68.27,46.75,41.23,22.05,False,TN
9,2026-04-07T11:23:52.608Z,0.000010,127.555,True,True,1,5,False,4x4,1,63.1,67.1,41.30,13.19,45.89,-5.94,19.35,63.99,50.96,47.64,18.10,True,FN
10,2026-04-07T11:23:57.509Z,0.000046,73.197,False,False,1,5,False,3x3,0,57.9,71.5,31.71,12.87,46.67,-8.28,24.78,66.59,46.24,41.73,19.92,False,TN
11,2026-04-07T11:23:58.111Z,0.000014,72.622,False,False,1,5,False,3x3,2,56.5,66.2,33.29,-4.03,45.46,-0.04,12.50,65.01,42.03,37.20,19.55,False,TN
12,2026-04-07T11:24:03.007Z,0.000027,130.158,False,False,1,5,False,1d:2,3,55.4,61.3,29.92,-5.89,46.29,0.08,7.04,60.90,35.65,32.52,14.61,False,TN
13,2026-04-07T11:24:04.009Z,0.000061,129.085,True,True,2,5,True,3x3,2,52.6,65.3,34.06,-5.73,39.68,4.79,13.17,63.76,42.35,34.84,24.08,True,TP
14,2026-04-07T11:24:05.615Z,0.000005,131.797,False,False,1,5,False,3x3,2,52.4,66.2,35.23,1.39,38.74,12.02,9.21,64.44,35.50,24.49,25.70,False,TN
15,2026-04-07T11:24:06.615Z,0.000003,73.376,False,False,1,5,False,4x4,0,50.3,67.6,31.81,1.33,38.93,16.99,11.87,64.39,31.29,18.19,25.46,False,TN
16,2026-04-07T11:24:12.509Z,0.000468,129.537,False,False,1,5,False,1d:8,1,50.8,73.5,32.48,3.92,38.87,32.03,11.56,65.14,27.36,7.65,26.27,True,FN
17,2026-04-07T11:24:13.111Z,0.000027,134.050,False,False,1,5,False,3x3,1,48.0,64.2,24.89,-10.74,39.65,10.85,1.80,63.24,30.18,18.82,23.59,False,TN
18,2026-04-07T11:24:17.106Z,0.000013,126.363,True,True,1,5,False,1d:2,2,42.3,60.0,13.37,-15.16,37.18,3.62,4.28,59.71,31.31,21.75,22.53,True,FN
19,2026-04-07T11:24:21.103Z,0.000009,73.023,True,False,1,5,False,2x4,1,40.6,60.4,21.83,-10.93,32.40,12.15,0.39,59.13,30.60,14.89,26.73,False,TN
20,2026-04-07T11:24:26.501Z,0.000038,133.276,True,True,2,5,True,1d:4,3,47.0,66.6,27.47,-9.15,37.04,28.31,18.27,57.45,34.19,27.43,20.41,True,TP
