fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-07T00:43:06.149Z,0.143668,129.006,True,True,1,1,False,2x2,2,67.3,85.4,28.24,6.51,60.75,-23.44,-35.38,74.11,67.85,66.53,13.36,True,FN
1,2026-04-07T00:43:07.153Z,0.002464,128.073,True,True,2,2,True,2x2,1,68.8,85.6,28.89,10.98,61.41,-25.68,-33.04,74.68,71.36,70.11,13.27,True,TP
2,2026-04-07T00:43:07.154Z,0.001947,127.424,True,True,3,3,True,1d:2,2,70.0,86.4,29.60,11.59,62.32,-23.50,-33.69,75.98,71.11,69.78,13.66,True,TP
3,2026-04-07T00:43:08.159Z,0.001892,72.881,False,False,3,4,True,4x4,3,71.7,86.6,33.67,16.65,61.09,-24.70,-31.64,76.71,77.35,75.76,15.62,False,FP
4,2026-04-07T00:43:09.168Z,0.000217,72.030,False,False,3,5,True,1d:15,2,70.9,86.7,29.28,18.67,61.82,-23.34,-36.80,74.95,77.58,76.46,13.13,False,FP
5,2026-04-07T00:43:12.185Z,0.000077,71.275,False,False,2,5,True,3x3,1,72.2,88.5,24.69,15.80,66.00,-30.09,-28.78,78.15,71.66,70.63,12.15,False,FP
6,2026-04-07T00:43:13.187Z,0.000048,129.971,False,False,1,5,False,3x3,0,77.4,92.2,26.97,22.97,68.82,-27.59,-35.55,80.48,80.85,80.01,11.66,True,FN
7,2026-04-07T00:43:16.204Z,0.000005,73.882,False,False,0,5,False,1d:15,1,73.3,92.5,20.98,20.74,67.06,-31.54,-29.63,81.81,74.25,72.77,14.75,False,TN
8,2026-04-07T00:43:20.504Z,0.000014,71.686,True,False,0,5,False,4x4,3,70.1,91.8,21.44,13.08,65.48,-30.25,-33.31,80.04,70.96,69.45,14.56,False,TN
9,2026-04-07T00:43:22.240Z,0.000085,133.498,True,True,1,5,False,2x2,2,65.7,86.8,21.87,5.25,61.74,-25.33,-34.60,75.42,63.27,61.77,13.68,True,FN
10,2026-04-07T00:43:23.240Z,0.000058,131.248,True,True,2,5,True,2x2,3,72.5,87.0,33.10,6.13,64.27,-24.35,-31.66,77.27,69.98,68.76,13.00,True,TP
11,2026-04-07T00:43:24.249Z,0.000023,72.186,False,False,2,5,True,1d:8,2,72.7,85.9,35.28,-3.37,63.48,-18.27,-31.31,77.88,62.09,60.40,14.40,False,FP
12,2026-04-07T00:43:26.262Z,0.000008,127.727,False,False,2,5,True,3x3,2,73.5,86.4,34.30,-5.01,64.87,-16.37,-24.36,81.26,56.66,54.24,16.39,False,FP
13,2026-04-07T00:43:31.005Z,0.000023,74.632,False,False,2,5,True,2x2,3,71.7,94.9,31.64,-9.21,63.68,-26.03,-25.71,87.57,64.57,59.98,23.89,False,FP
14,2026-04-07T00:43:33.004Z,0.000298,130.257,True,True,2,5,True,1d:15,1,72.4,98.5,35.46,-8.51,62.52,-31.87,-31.77,87.66,75.54,71.23,25.14,True,TP
15,2026-04-07T00:43:34.321Z,0.000305,73.462,False,False,1,5,False,4x4,3,74.2,99.6,37.35,-19.61,61.09,-32.58,-30.62,89.00,76.09,70.79,27.91,False,TN
16,2026-04-07T00:43:36.328Z,0.000275,73.548,False,False,1,5,False,1d:15,1,76.3,99.0,36.48,-22.39,63.20,-32.01,-24.36,90.41,73.72,68.52,27.21,False,TN
17,2026-04-07T00:43:37.330Z,0.000027,128.791,True,True,2,5,True,2x2,3,77.7,98.3,38.30,-23.62,63.29,-33.10,-17.97,90.79,76.72,71.62,27.50,True,TP
18,2026-04-07T00:43:40.353Z,0.000017,74.355,False,False,2,5,True,3x3,2,78.5,106.6,33.95,-21.20,67.50,-27.94,-33.90,97.15,69.79,63.18,29.65,False,FP
19,2026-04-07T00:43:44.007Z,0.000017,72.444,False,False,1,5,False,2x2,0,77.0,109.8,29.11,-14.23,69.80,-23.49,-35.49,101.26,64.87,56.73,31.46,False,TN
20,2026-04-07T00:43:45.008Z,0.000026,71.284,True,False,1,5,False,2x2,2,74.5,112.5,26.58,-17.20,67.47,-28.34,-33.83,103.48,67.75,57.38,36.01,False,TN
21,2026-04-07T00:43:45.508Z,0.000036,132.516,False,False,1,5,False,1d:2,0,70.7,105.7,25.23,-15.32,64.21,-37.78,-24.45,95.65,71.01,63.67,31.44,True,FN
22,2026-04-07T00:43:46.386Z,0.000012,131.882,True,True,1,5,False,2x4,3,69.4,104.8,19.41,-9.37,65.93,-30.77,-26.24,96.69,61.23,52.94,30.76,True,FN
23,2026-04-07T00:43:47.388Z,0.000008,125.703,True,True,2,5,True,3x3,3,70.5,105.6,18.73,-11.77,66.93,-33.69,-29.47,95.69,62.36,55.33,28.76,True,TP
24,2026-04-07T00:43:51.003Z,0.000016,71.961,False,False,2,5,True,2x2,2,73.8,102.8,27.72,-18.87,65.76,-30.14,-25.08,95.08,65.16,58.19,29.32,False,FP
25,2026-04-07T00:43:52.007Z,0.000036,71.494,False,False,2,5,True,2x2,1,76.9,102.0,31.65,-7.26,69.72,-25.73,-22.95,96.02,65.04,59.49,26.30,False,FP
26,2026-04-07T00:43:52.404Z,0.000020,72.375,False,False,2,5,True,1d:8,3,72.5,102.6,25.20,-7.93,67.57,-25.79,-23.78,96.46,60.71,53.40,28.89,False,FP
27,2026-04-07T00:43:53.408Z,0.000003,126.875,True,True,2,5,True,2x4,2,67.5,104.2,22.97,-12.71,62.15,-28.06,-19.84,98.33,62.96,51.53,36.18,True,TP
28,2026-04-07T00:43:57.506Z,0.000005,72.981,False,False,1,5,False,1d:8,2,74.8,110.2,31.01,-9.62,67.34,-24.30,-27.51,103.86,68.65,58.13,36.52,False,TN
29,2026-04-07T00:44:01.008Z,0.000154,71.777,False,False,1,5,False,2x2,2,79.5,107.9,33.29,-10.28,71.43,-20.22,-25.36,102.87,63.87,55.59,31.44,False,TN
30,2026-04-07T00:44:03.009Z,0.000215,71.349,False,False,1,5,False,1d:8,1,82.3,103.6,29.28,-15.57,75.37,-12.54,-12.16,102.13,49.77,41.96,26.76,False,TN
