fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-06T22:45:26.814Z,0.045487,127.392,True,True,1,1,False,4x4,2,69.5,83.1,33.44,12.58,59.60,-20.87,-11.90,79.52,62.81,59.57,19.92,True,FN
1,2026-04-06T22:45:27.013Z,0.000036,130.422,True,True,2,2,True,2x2,3,67.6,81.5,31.61,13.98,58.13,-16.08,-9.70,79.36,57.32,53.25,21.23,True,TP
2,2026-04-06T22:45:32.505Z,0.000043,71.790,False,False,2,3,True,2x2,3,73.9,83.0,43.93,4.76,59.27,-14.87,-3.32,81.61,63.42,59.35,22.34,False,FP
3,2026-04-06T22:45:33.514Z,0.000004,75.445,True,False,2,4,True,1d:15,1,77.7,83.5,40.93,18.70,63.28,-13.30,7.36,82.12,58.52,55.40,18.84,False,FP
4,2026-04-06T22:45:37.014Z,0.000003,134.259,True,True,3,5,True,3x3,3,74.7,73.6,39.85,15.97,61.17,-1.55,-4.78,73.38,47.89,46.31,12.21,True,TP
5,2026-04-06T22:45:42.504Z,0.000020,72.016,False,False,2,5,True,2x2,0,72.2,72.0,35.81,12.52,61.48,6.98,9.80,70.99,30.48,28.96,9.51,False,FP
6,2026-04-06T22:45:44.017Z,0.000010,126.332,False,False,1,5,False,1d:4,0,69.5,69.6,29.53,5.79,62.70,-5.59,12.68,68.20,36.21,35.79,5.50,True,FN
7,2026-04-06T22:45:49.501Z,0.000054,130.054,True,True,2,5,True,2x2,3,71.2,74.5,24.48,-0.76,66.84,-5.58,21.03,71.31,37.40,37.13,4.47,True,TP
8,2026-04-06T22:45:50.515Z,0.000000,72.564,True,False,2,5,True,2x4,2,76.6,79.2,12.82,-20.71,72.66,-9.07,21.43,75.67,47.58,47.49,3.01,False,FP
9,2026-04-06T22:45:56.016Z,0.000008,132.903,True,True,2,5,True,2x4,1,78.3,78.2,15.69,-24.67,72.66,-15.59,12.63,75.54,48.76,48.68,2.88,True,TP
10,2026-04-06T22:45:57.513Z,0.000038,72.425,False,False,2,5,True,3x3,3,74.4,89.3,21.74,-15.18,69.52,-15.47,22.16,85.15,54.98,52.71,15.63,False,FP
11,2026-04-06T22:45:59.017Z,0.000017,131.035,True,True,3,5,True,3x3,2,75.0,89.8,30.90,-13.27,67.02,-5.63,27.14,85.36,57.48,54.47,18.34,True,TP
12,2026-04-06T22:46:02.015Z,0.000000,68.930,False,False,2,5,True,1d:2,2,75.2,99.9,34.91,-11.67,65.55,11.98,38.09,91.60,60.67,54.79,26.05,False,FP
13,2026-04-06T22:46:07.517Z,0.000006,70.968,False,False,2,5,True,1d:4,2,78.2,101.2,31.98,-12.01,70.29,16.90,41.71,90.63,59.39,55.80,20.34,False,FP
14,2026-04-06T22:46:08.518Z,0.000016,74.137,False,False,1,5,False,4x4,2,78.6,96.3,27.48,-17.56,71.53,10.64,34.42,89.26,57.44,54.64,17.73,False,TN
15,2026-04-06T22:46:10.513Z,0.000423,71.571,False,False,1,5,False,2x2,0,85.8,103.3,28.44,-7.10,80.65,4.38,44.79,93.03,58.52,57.20,12.38,False,TN
16,2026-04-06T22:46:11.017Z,0.000233,71.859,False,False,0,5,False,4x4,1,86.2,100.1,34.55,-9.86,78.33,3.36,44.87,89.47,63.97,62.99,11.14,False,TN
17,2026-04-06T22:46:11.516Z,0.000022,72.420,False,False,0,5,False,2x4,1,86.3,102.8,34.48,-5.86,78.95,3.97,44.82,92.45,60.68,59.16,13.50,False,TN
18,2026-04-06T22:46:16.501Z,0.000051,129.433,False,False,0,5,False,4x4,0,78.1,96.5,30.32,-6.82,71.61,-0.68,36.07,89.55,55.88,52.92,17.94,True,FN
19,2026-04-06T22:46:19.015Z,0.000013,74.761,True,False,0,5,False,4x4,3,81.3,91.1,40.29,-19.01,68.02,9.11,18.35,88.80,52.91,48.66,20.78,False,TN
20,2026-04-06T22:46:24.001Z,0.000015,74.137,False,False,0,5,False,4x4,2,80.3,92.8,40.68,-19.23,66.48,5.23,15.16,91.37,55.31,49.39,24.89,False,TN
21,2026-04-06T22:46:24.503Z,0.000029,74.289,False,False,0,5,False,2x2,3,77.2,92.6,43.74,-10.56,62.71,2.03,11.25,91.89,55.38,47.07,29.18,False,TN
22,2026-04-06T22:46:26.517Z,0.000006,126.521,False,False,0,5,False,1d:4,1,80.7,89.9,40.09,-13.71,68.62,5.71,-5.28,89.56,41.13,35.40,20.94,False,TN
