fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m
0,2026-02-27T22:48:21.728Z,0.327455,70.751,True,False,0,1,False,2x2,1,61.1,80.6
1,2026-02-27T22:48:21.904Z,0.175202,128.704,True,True,1,2,False,1d:4,1,57.6,80.6
2,2026-02-27T22:48:22.230Z,0.327246,128.704,True,True,2,3,False,1d:4,3,57.6,80.5
3,2026-02-27T22:48:22.402Z,0.174055,72.801,True,False,2,4,False,1d:4,3,59.8,80.5
4,2026-02-27T22:48:23.234Z,0.832109,72.801,False,False,2,5,False,1d:4,3,59.8,89.1
5,2026-02-27T22:48:23.402Z,0.168869,70.908,False,False,2,5,False,2x2,3,58.8,89.1
6,2026-02-27T22:48:23.741Z,0.335898,70.908,True,False,1,5,False,2x2,1,58.8,87.8
7,2026-02-27T22:48:24.239Z,0.837398,70.908,True,False,0,5,False,2x2,1,58.8,87.9
8,2026-02-27T22:48:24.408Z,0.168743,78.010,True,False,0,5,False,3x3,1,59.2,87.9
9,2026-02-27T22:48:24.747Z,0.335817,78.010,False,False,0,5,False,3x3,0,59.2,87.2
10,2026-02-27T22:48:24.917Z,0.168779,134.002,False,False,0,5,False,2x2,0,52.5,87.2
11,2026-02-27T22:48:25.246Z,0.332454,134.002,True,True,1,5,False,2x2,3,52.5,94.8
12,2026-02-27T22:48:25.415Z,0.168911,131.200,True,True,2,5,False,1d:2,3,54.0,94.8
13,2026-02-27T22:48:25.750Z,0.332999,131.200,True,True,3,5,True,1d:2,1,54.0,91.5
14,2026-02-27T22:48:26.250Z,0.833804,131.200,False,False,3,5,True,1d:2,2,54.0,87.5
15,2026-02-27T22:48:26.418Z,0.170102,72.215,False,False,3,5,True,2x2,2,45.6,87.5
16,2026-02-27T22:48:26.755Z,0.333173,72.215,False,False,2,5,False,2x2,2,45.6,90.7
17,2026-02-27T22:48:26.919Z,0.167677,131.679,False,False,1,5,False,3x3,2,41.2,90.7
18,2026-02-27T22:48:27.422Z,0.668229,69.694,False,False,0,5,False,1d:2,2,44.5,90.7
19,2026-02-27T22:48:27.753Z,0.333615,69.694,False,False,0,5,False,1d:2,2,44.5,95.7
20,2026-02-27T22:48:27.929Z,0.171195,135.044,False,False,0,5,False,1d:2,2,47.2,95.7
21,2026-02-27T22:48:28.258Z,0.330989,135.044,False,False,0,5,False,1d:2,1,47.2,97.4
22,2026-02-27T22:48:28.426Z,0.170848,126.178,False,False,0,5,False,2x2,1,51.4,97.4
23,2026-02-27T22:48:28.756Z,0.330376,126.178,False,False,0,5,False,2x2,2,51.4,96.0
24,2026-02-27T22:48:28.933Z,0.174132,130.618,False,False,0,5,False,2x2,2,54.8,96.0
25,2026-02-27T22:48:29.264Z,0.328184,130.618,True,True,1,5,False,2x2,3,54.8,94.4
26,2026-02-27T22:48:29.762Z,0.831676,130.618,False,False,1,5,False,2x2,2,54.8,100.1
27,2026-02-27T22:48:29.934Z,0.170308,134.676,False,False,1,5,False,1d:8,2,55.2,100.1
28,2026-02-27T22:48:30.268Z,0.332128,134.676,False,False,1,5,False,1d:8,2,55.2,101.3
29,2026-02-27T22:48:30.438Z,0.171908,130.338,False,False,1,5,False,1d:8,2,52.0,101.3
30,2026-02-27T22:48:30.940Z,0.673954,73.686,False,False,0,5,False,4x4,2,53.4,101.3
31,2026-02-27T22:48:31.444Z,1.176430,71.982,False,False,0,5,False,1d:4,2,57.2,101.3
32,2026-02-27T22:48:31.776Z,0.331085,71.982,False,False,0,5,False,1d:4,2,57.2,112.6
33,2026-02-27T22:48:31.945Z,0.171920,127.202,False,False,0,5,False,3x3,2,62.4,112.6
34,2026-02-27T22:48:32.280Z,0.331343,127.202,False,False,0,5,False,3x3,0,62.4,115.5
35,2026-02-27T22:48:32.449Z,0.170620,71.326,False,False,0,5,False,3x3,0,63.7,115.5
36,2026-02-27T22:48:32.781Z,0.330221,71.326,True,False,0,5,False,3x3,2,63.7,115.8
37,2026-02-27T22:48:32.947Z,0.170406,127.933,True,True,1,5,False,2x4,2,59.5,115.8
38,2026-02-27T22:48:33.281Z,0.334062,127.933,False,False,1,5,False,2x4,1,59.5,118.1
39,2026-02-27T22:48:33.452Z,0.166779,130.410,False,False,1,5,False,2x4,1,59.1,118.1
40,2026-02-27T22:48:33.784Z,0.335010,130.410,False,False,1,5,False,2x4,0,59.1,118.5
41,2026-02-27T22:48:33.951Z,0.168133,73.313,False,False,1,5,False,4x4,0,57.6,118.5
42,2026-02-27T22:48:34.283Z,0.332727,73.313,False,False,0,5,False,4x4,2,57.6,121.4
43,2026-02-27T22:48:34.456Z,0.170835,72.360,False,False,0,5,False,1d:4,2,53.2,121.4
44,2026-02-27T22:48:34.956Z,0.671810,71.900,False,False,0,5,False,2x4,2,50.1,121.4
45,2026-02-27T22:48:35.288Z,0.332797,71.900,False,False,0,5,False,2x4,0,50.1,118.7
46,2026-02-27T22:48:35.461Z,0.172003,74.624,False,False,0,5,False,1d:2,0,50.8,118.7
47,2026-02-27T22:48:35.793Z,0.331435,74.624,False,False,0,5,False,1d:2,3,50.8,119.8
48,2026-02-27T22:48:35.962Z,0.169703,130.693,False,False,0,5,False,2x2,3,46.7,119.8
49,2026-02-27T22:48:36.297Z,0.331348,130.693,True,True,1,5,False,2x2,2,46.7,118.8
50,2026-02-27T22:48:36.464Z,0.171457,133.990,True,True,2,5,False,1d:4,2,44.4,118.8
