fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-07T01:25:17.580Z,0.022720,128.988,True,True,1,1,False,2x4,2,69.2,85.5,30.28,11.15,61.20,-24.14,-15.85,80.47,63.73,60.75,19.27,True,FN
1,2026-04-07T01:25:17.795Z,0.000477,128.988,True,True,2,2,True,2x4,1,69.2,86.1,30.28,11.15,61.20,-27.00,-19.76,79.29,67.55,65.09,18.09,True,TP
2,2026-04-07T01:25:18.111Z,0.000228,127.167,True,True,3,3,True,1d:15,2,68.7,83.8,31.13,14.59,59.48,-26.56,-16.49,77.73,68.02,65.53,18.25,True,TP
3,2026-04-07T01:25:18.614Z,0.000143,131.784,False,False,3,4,True,3x3,0,67.7,84.4,28.58,12.34,60.07,-30.76,-15.69,76.97,67.77,65.63,16.90,True,TP
4,2026-04-07T01:25:19.116Z,0.000003,130.050,True,True,4,5,True,4x4,2,65.0,82.4,26.20,11.38,58.36,-27.46,-20.53,74.97,64.60,62.43,16.61,True,TP
5,2026-04-07T01:25:25.007Z,0.000026,72.512,False,False,3,5,True,2x2,0,66.9,80.2,32.73,13.91,56.66,-33.51,-15.15,71.33,73.81,72.33,14.67,False,FP
6,2026-04-07T01:25:28.003Z,0.000074,72.919,False,False,2,5,True,1d:8,1,66.5,84.6,34.25,9.65,56.15,-38.11,-17.60,73.43,79.23,77.32,17.28,False,FP
7,2026-04-07T01:25:28.503Z,0.000081,72.351,True,False,1,5,False,2x4,3,68.0,85.2,25.96,15.01,61.07,-32.53,-31.09,72.39,75.33,74.47,11.32,True,FN
8,2026-04-07T01:25:30.504Z,0.000239,129.821,True,True,2,5,True,1d:15,2,69.4,84.1,26.67,21.46,60.36,-33.72,-21.53,73.96,75.37,74.13,13.60,True,TP
9,2026-04-07T01:25:30.609Z,0.000143,71.417,False,False,1,5,False,4x4,1,66.8,89.0,27.72,22.60,56.39,-32.35,-31.28,76.74,83.22,80.69,20.35,False,TN
10,2026-04-07T01:25:32.112Z,0.000023,72.831,False,False,1,5,False,1d:15,2,66.2,85.1,27.39,22.51,55.96,-34.59,-28.79,72.19,82.08,80.46,16.23,False,TN
