fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-15T12:18:03.318Z,0.229137,73.238,False,False,0,1,False,1d:4,0,66.1,96.0,-40.68,-32.74,40.54,-40.68,-32.74,80.54,40.00,0.00,40.00,True,FN
1,2026-04-15T12:18:03.552Z,0.000008,72.866,True,False,0,2,False,2x4,3,63.8,94.2,-35.74,-34.63,39.91,-36.28,-34.26,79.86,39.96,0.65,39.95,True,FN
2,2026-04-15T12:18:08.502Z,0.000184,72.329,False,False,0,3,False,1d:15,0,58.0,91.7,-27.44,-32.27,39.59,-28.35,-34.62,80.02,40.51,2.52,40.43,True,FN
3,2026-04-15T12:18:09.501Z,0.000233,72.608,False,False,0,4,False,1d:15,3,55.9,89.4,-19.62,-33.65,40.09,-21.25,-34.36,79.78,39.73,1.78,39.69,True,FN
4,2026-04-15T12:18:10.052Z,0.000001,75.235,False,False,0,5,False,4x4,2,54.8,88.6,15.82,-34.09,39.94,16.90,-33.76,80.12,40.20,1.13,40.18,True,FN
5,2026-04-15T12:18:15.002Z,0.000166,73.736,False,False,0,5,False,1d:4,3,63.1,93.7,35.09,-33.70,40.24,35.52,-33.39,80.03,39.79,0.53,39.79,True,FN
6,2026-04-15T12:18:15.052Z,0.000006,128.175,True,True,1,5,False,4x4,1,51.8,86.5,24.06,-22.25,40.10,24.35,-21.97,80.03,39.93,0.40,39.93,True,FN
7,2026-04-15T12:18:20.010Z,0.000350,132.567,True,True,2,5,True,3x3,3,46.7,83.9,11.45,-20.95,40.19,11.94,-22.62,79.88,39.73,1.74,39.69,True,TP
8,2026-04-15T12:18:21.505Z,0.000830,75.275,False,False,2,5,True,2x4,2,49.5,85.6,-20.15,-21.90,39.59,-19.36,-23.06,80.11,40.54,1.40,40.52,True,TP
9,2026-04-15T12:18:22.553Z,0.000175,70.648,False,False,2,5,True,2x2,0,58.3,90.5,-36.11,-22.34,39.98,-36.15,-21.77,80.06,40.08,0.57,40.08,True,TP
10,2026-04-15T12:18:27.503Z,0.000376,129.518,True,True,3,5,True,3x3,1,42.4,81.8,-11.95,-9.24,39.57,-12.08,-10.12,80.23,40.67,0.89,40.66,True,TP
11,2026-04-15T12:18:31.053Z,0.000052,134.147,False,False,2,5,True,2x4,0,47.9,84.0,24.69,-9.82,39.84,24.21,-10.40,79.79,39.96,0.75,39.95,True,TP
12,2026-04-15T12:18:34.554Z,0.000008,129.925,True,True,2,5,True,2x4,1,48.9,85.0,28.33,2.14,39.83,28.31,2.00,80.13,40.30,0.14,40.30,True,TP
13,2026-04-15T12:18:39.504Z,0.000164,128.012,True,True,3,5,True,2x2,3,41.0,80.3,-7.61,2.44,40.25,-7.79,2.88,79.83,39.58,0.48,39.58,True,TP
14,2026-04-15T12:18:42.553Z,0.000020,72.462,True,False,3,5,True,2x2,3,53.8,87.9,-35.85,2.87,39.96,-36.01,2.34,80.11,40.15,0.55,40.15,True,TP
15,2026-04-15T12:18:43.551Z,0.000008,135.448,False,False,2,5,True,2x2,0,55.5,89.0,-36.18,13.49,39.85,-35.67,13.38,80.44,40.59,0.52,40.59,True,TP
16,2026-04-15T12:18:48.506Z,0.000027,72.649,False,False,2,5,True,2x4,0,43.0,81.4,0.29,14.92,40.28,-0.93,14.75,80.01,39.75,1.23,39.73,True,TP
17,2026-04-15T12:18:53.004Z,0.000036,74.351,True,False,1,5,False,4x4,1,43.3,81.8,9.04,14.15,39.96,8.65,14.65,80.05,40.10,0.63,40.09,True,FN
18,2026-04-15T12:18:54.011Z,0.000298,133.747,True,True,1,5,False,1d:4,2,46.5,83.7,19.91,14.04,39.63,20.31,14.38,79.92,40.29,0.52,40.29,True,FN
19,2026-04-15T12:18:55.504Z,0.000365,131.962,True,True,2,5,True,3x3,2,52.7,87.0,31.52,13.24,40.12,31.68,13.99,79.83,39.72,0.77,39.71,True,TP
20,2026-04-15T12:18:57.010Z,0.001022,122.317,True,True,3,5,True,2x4,1,62.0,93.9,40.30,25.39,39.63,40.73,26.10,80.48,40.86,0.83,40.85,True,TP
21,2026-04-15T12:18:57.553Z,0.000031,132.435,False,False,3,5,True,1d:2,0,47.7,84.2,3.42,25.67,40.08,3.78,25.88,80.05,39.97,0.42,39.97,True,TP
22,2026-04-15T12:18:59.054Z,0.000001,128.687,False,False,3,5,True,3x3,0,48.4,84.3,-9.31,25.63,39.96,-7.40,26.27,79.75,39.84,2.01,39.79,True,TP
