fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-15T06:49:03.450Z,0.344803,73.253,False,False,0,1,False,1d:8,3,63.8,95.1,-35.98,-33.85,40.41,-39.61,-33.34,79.81,39.57,3.67,39.40,True,FN
1,2026-04-15T06:49:03.501Z,0.155338,70.696,False,False,0,2,False,1d:2,3,61.1,95.1,-31.52,-33.71,40.02,-39.61,-33.34,79.81,40.61,8.10,39.79,True,FN
2,2026-04-15T06:49:03.658Z,0.000023,70.696,False,False,0,3,False,1d:2,1,61.1,94.3,-31.52,-33.71,40.02,-36.43,-33.08,80.41,40.69,4.95,40.39,True,FN
3,2026-04-15T06:49:04.604Z,0.000005,73.773,False,False,0,4,False,2x4,1,57.1,91.1,-24.30,-33.07,39.76,-27.29,-34.49,79.82,40.20,3.31,40.06,True,FN
4,2026-04-15T06:49:08.605Z,0.000001,73.287,False,False,0,5,False,2x4,2,53.4,86.8,7.37,-34.10,40.42,3.13,-33.97,79.85,39.66,4.24,39.43,True,FN
5,2026-04-15T06:49:13.505Z,0.000006,130.197,True,True,1,5,False,1d:8,2,55.3,87.4,16.26,-33.85,40.55,11.41,-33.97,79.73,39.48,4.85,39.18,True,FN
6,2026-04-15T06:49:14.501Z,0.000029,72.678,False,False,1,5,False,2x4,1,63.6,92.5,35.84,-34.03,40.10,32.59,-33.70,79.78,39.81,3.27,39.68,True,FN
7,2026-04-15T06:49:15.117Z,0.000019,127.325,True,True,2,5,True,4x4,1,50.4,86.5,19.93,-22.81,40.24,23.83,-21.80,80.26,40.22,4.03,40.02,True,TP
8,2026-04-15T06:49:16.605Z,0.000016,134.137,True,True,3,5,True,2x2,2,46.3,83.7,8.36,-22.01,39.92,11.69,-21.15,80.09,40.32,3.44,40.17,True,TP
9,2026-04-15T06:49:17.602Z,0.000003,133.731,True,True,4,5,True,1d:2,3,45.6,83.2,0.03,-21.85,40.06,4.17,-21.43,80.32,40.47,4.16,40.26,True,TP
10,2026-04-15T06:49:22.501Z,0.000528,69.279,False,False,3,5,True,2x2,2,50.0,84.3,-20.10,-22.30,40.00,-16.09,-21.77,79.86,40.06,4.04,39.86,True,TP
11,2026-04-15T06:49:23.102Z,0.000007,70.469,False,False,3,5,True,1d:2,0,54.1,90.0,-35.14,-9.54,40.01,-40.16,-9.75,79.90,40.21,5.02,39.89,True,TP
12,2026-04-15T06:49:28.003Z,0.000072,71.759,False,False,2,5,True,2x2,1,50.0,86.8,-28.02,-10.81,40.01,-31.88,-10.40,80.07,40.25,3.88,40.06,True,TP
13,2026-04-15T06:49:28.103Z,0.000036,127.432,True,True,2,5,True,3x3,2,41.2,80.7,4.56,-9.41,39.83,-0.14,-9.97,80.08,40.53,4.73,40.25,True,TP
14,2026-04-15T06:49:31.603Z,0.000012,126.208,True,True,2,5,True,1d:2,3,52.0,85.1,31.56,-10.16,40.04,27.53,-9.38,79.94,40.11,4.10,39.90,True,TP
15,2026-04-15T06:49:36.504Z,0.000088,129.517,True,True,3,5,True,4x4,2,44.9,84.0,19.84,2.22,40.21,24.23,1.45,80.45,40.49,4.46,40.24,True,TP
16,2026-04-15T06:49:37.103Z,0.000016,128.080,True,True,4,5,True,4x4,1,40.2,80.1,4.06,2.39,39.90,7.28,1.54,79.75,39.99,3.33,39.85,True,TP
17,2026-04-15T06:49:40.604Z,0.000003,130.199,True,True,5,5,True,2x4,3,47.1,83.2,-24.86,1.58,39.95,-20.67,2.82,80.49,40.77,4.37,40.54,True,TP
18,2026-04-15T06:49:45.503Z,0.000019,126.653,True,True,5,5,True,3x3,3,52.5,89.1,-31.44,13.57,39.76,-36.00,14.08,80.24,40.74,4.59,40.48,True,TP
19,2026-04-15T06:49:48.506Z,0.000023,130.605,True,True,5,5,True,2x4,1,48.1,86.1,-23.58,13.17,39.76,-27.82,13.93,80.28,40.75,4.31,40.52,True,TP
20,2026-04-15T06:49:49.103Z,0.000003,131.170,False,False,4,5,True,3x3,2,44.3,81.7,12.33,14.16,40.12,8.03,13.74,80.14,40.25,4.32,40.02,True,TP
21,2026-04-15T06:49:50.605Z,0.000003,125.850,False,False,3,5,True,2x2,0,49.2,83.8,24.72,14.70,39.98,19.65,13.96,80.24,40.58,5.12,40.26,True,TP
22,2026-04-15T06:49:55.504Z,0.000045,131.863,False,False,2,5,True,2x2,0,56.8,92.0,31.53,25.66,39.60,36.46,25.92,80.39,41.09,4.94,40.79,True,TP
23,2026-04-15T06:49:57.603Z,0.000028,134.154,True,True,2,5,True,1d:2,1,48.1,84.2,0.15,26.35,40.23,4.46,26.18,79.92,39.92,4.31,39.69,True,TP
24,2026-04-15T06:50:02.505Z,0.000081,134.150,True,True,2,5,True,1d:4,2,47.9,83.7,-7.95,25.08,40.05,-4.41,25.68,79.56,39.67,3.59,39.51,True,TP
