fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-14T23:26:44.061Z,0.041881,73.954,False,False,0,1,False,4x4,1,63.4,95.5,-35.70,-33.73,40.11,-39.98,-33.77,79.88,40.00,4.28,39.77,True,FN
1,2026-04-14T23:26:44.265Z,0.000100,73.954,False,False,0,2,False,4x4,3,63.4,93.5,-35.70,-33.73,40.11,-35.82,-33.69,79.58,39.47,0.13,39.47,True,FN
2,2026-04-14T23:26:46.601Z,0.000010,74.196,False,False,0,3,False,2x4,1,55.3,87.9,-15.79,-34.36,40.36,-15.58,-33.23,79.87,39.53,1.15,39.51,True,FN
3,2026-04-14T23:26:49.601Z,0.000004,133.232,False,False,0,4,False,1d:2,0,53.2,86.9,7.77,-34.36,39.93,7.35,-33.40,79.93,40.01,1.05,40.00,True,FN
4,2026-04-14T23:26:54.509Z,0.002095,73.126,False,False,0,5,False,1d:8,0,61.4,92.5,31.79,-33.78,40.25,31.59,-33.70,80.08,39.83,0.22,39.83,True,FN
5,2026-04-14T23:26:55.610Z,0.000824,133.243,True,True,1,5,False,2x4,3,51.7,86.3,23.98,-21.46,40.45,23.21,-21.88,80.19,39.75,0.88,39.74,True,FN
6,2026-04-14T23:26:56.104Z,0.000032,129.514,False,False,1,5,False,1d:15,0,49.8,85.3,19.24,-21.93,40.32,20.86,-21.88,79.72,39.43,1.62,39.40,True,FN
7,2026-04-14T23:27:01.001Z,0.000117,128.724,True,True,2,5,True,1d:8,1,45.7,83.0,-0.53,-21.05,40.54,-0.04,-21.59,80.11,39.58,0.73,39.57,True,TP
8,2026-04-14T23:27:03.504Z,0.000475,72.913,False,False,2,5,True,2x2,0,56.0,88.9,-32.25,-21.95,40.25,-32.67,-21.03,79.98,39.74,1.01,39.73,True,TP
9,2026-04-14T23:27:07.103Z,0.000023,132.522,True,True,3,5,True,2x2,3,43.2,81.5,-12.43,-9.82,40.21,-11.52,-10.13,80.09,39.89,0.96,39.88,True,TP
10,2026-04-14T23:27:10.103Z,0.000009,127.412,True,True,3,5,True,2x4,2,42.8,81.6,12.89,-9.96,39.60,12.01,-10.46,80.03,40.44,1.01,40.43,True,TP
11,2026-04-14T23:27:11.602Z,0.000007,128.285,True,True,4,5,True,3x3,2,47.7,84.1,24.02,-10.24,39.91,23.96,-10.05,79.98,40.07,0.20,40.07,True,TP
12,2026-04-14T23:27:16.502Z,0.000011,129.499,True,True,4,5,True,2x4,2,46.8,83.6,24.23,1.32,40.01,23.80,1.90,80.13,40.13,0.72,40.12,True,TP
13,2026-04-14T23:27:16.603Z,0.000010,133.480,True,True,5,5,True,4x4,2,42.5,81.4,15.33,1.98,39.60,15.92,1.66,79.84,40.25,0.67,40.24,True,TP
14,2026-04-14T23:27:21.502Z,0.000390,131.502,True,True,5,5,True,1d:4,3,40.5,80.0,-8.56,2.06,39.51,-7.81,1.99,79.55,40.05,0.75,40.04,True,TP
15,2026-04-14T23:27:21.602Z,0.000000,124.546,True,True,5,5,True,1d:8,2,46.3,83.1,-23.77,1.39,39.68,-23.51,2.23,79.70,40.03,0.88,40.02,True,TP
16,2026-04-14T23:27:26.502Z,0.000006,128.624,True,True,5,5,True,3x3,2,56.0,88.8,-36.44,13.91,40.23,-35.12,13.41,80.39,40.18,1.41,40.16,True,TP
17,2026-04-14T23:27:29.005Z,0.000015,128.539,True,True,5,5,True,3x3,1,42.0,81.2,1.29,13.41,39.80,-0.56,13.68,80.07,40.31,1.87,40.27,True,TP
18,2026-04-14T23:27:32.603Z,0.000002,126.161,True,True,5,5,True,3x3,1,53.7,87.3,32.63,14.23,40.17,31.97,14.38,79.96,39.80,0.68,39.79,True,TP
19,2026-04-14T23:27:37.502Z,0.000056,129.337,False,False,4,5,True,1d:15,0,55.7,88.9,35.73,14.63,40.10,35.95,14.24,80.05,39.95,0.45,39.95,True,TP
20,2026-04-14T23:27:38.002Z,0.000149,71.734,False,False,3,5,True,3x3,0,60.0,91.7,36.12,26.10,40.22,35.82,26.63,80.10,39.88,0.61,39.88,True,TP
21,2026-04-14T23:27:38.102Z,0.000050,134.619,True,True,3,5,True,2x2,1,47.5,84.5,4.25,26.12,39.49,3.88,26.29,80.21,40.72,0.41,40.72,True,TP
22,2026-04-14T23:27:38.603Z,0.000011,129.095,True,True,3,5,True,1d:2,2,47.6,84.2,0.49,25.70,40.06,-0.07,26.32,80.01,39.96,0.84,39.95,True,TP
23,2026-04-14T23:27:43.502Z,0.000020,131.446,True,True,3,5,True,3x3,1,48.0,84.2,-3.56,26.26,40.04,-4.17,25.58,80.07,40.04,0.91,40.03,True,TP
