fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-07T02:46:18.067Z,0.044410,75.180,True,False,0,1,False,1d:4,1,70.5,86.3,34.65,5.12,61.18,-19.42,-20.86,81.42,63.31,59.99,20.24,True,FN
1,2026-04-07T02:46:18.514Z,0.000037,74.487,True,False,0,2,False,4x4,2,70.4,89.5,36.73,2.92,60.00,-20.71,-22.73,84.03,67.34,62.91,24.03,True,FN
2,2026-04-07T02:46:19.015Z,0.000032,72.276,False,False,0,3,False,2x2,0,71.3,90.7,41.18,-1.89,58.20,-18.38,-23.32,85.69,69.01,63.30,27.49,True,FN
3,2026-04-07T02:46:19.516Z,0.000028,132.775,True,True,1,4,False,3x3,3,69.3,87.0,37.35,-6.42,58.04,-12.87,-19.26,83.86,57.91,51.84,25.82,True,FN
4,2026-04-07T02:46:24.503Z,0.000181,124.412,False,False,1,5,False,2x2,2,69.6,87.0,37.09,-10.26,58.00,-11.36,-20.61,83.72,55.82,49.54,25.72,True,FN
5,2026-04-07T02:46:25.002Z,0.000375,70.877,False,False,1,5,False,1d:2,3,74.7,88.2,40.16,-9.47,62.26,-16.25,-32.61,80.33,63.59,60.97,18.07,False,TN
6,2026-04-07T02:46:27.011Z,0.000037,72.214,True,False,1,5,False,2x2,3,76.2,87.0,37.86,-11.44,65.08,-7.88,-15.56,85.24,50.16,45.93,20.16,True,FN
7,2026-04-07T02:46:28.514Z,0.000022,129.085,True,True,2,5,True,4x4,1,78.4,89.3,35.33,-6.89,69.69,-5.60,-10.60,88.54,45.21,41.10,18.85,True,TP
8,2026-04-07T02:46:33.503Z,0.000040,128.666,False,False,1,5,False,4x4,2,77.5,91.2,36.89,-6.94,67.80,-6.93,-13.72,89.87,49.53,44.34,22.07,True,FN
9,2026-04-07T02:46:34.005Z,0.000491,73.670,False,False,1,5,False,4x4,2,80.6,92.0,44.04,-0.08,67.45,-6.79,-5.88,91.51,56.54,51.16,24.06,False,TN
10,2026-04-07T02:46:35.504Z,0.000521,72.975,False,False,1,5,False,2x4,3,78.5,90.3,40.58,-0.58,67.24,-6.90,-12.52,89.20,53.66,48.96,21.96,False,TN
11,2026-04-07T02:46:36.502Z,0.000931,135.224,False,False,1,5,False,1d:8,1,78.5,82.6,41.62,-2.58,66.53,-4.83,5.04,82.27,49.63,47.07,15.74,False,TN
12,2026-04-07T02:46:36.513Z,0.000068,72.804,True,False,0,5,False,1d:15,2,74.8,83.5,43.84,-0.99,60.62,-2.98,-0.17,83.49,52.11,46.83,22.87,True,FN
13,2026-04-07T02:46:37.012Z,0.000002,134.289,True,True,1,5,False,1d:15,1,71.6,84.4,40.26,1.43,59.17,1.52,3.97,84.25,46.22,38.82,25.08,True,FN
14,2026-04-07T02:46:42.011Z,0.000015,72.615,False,False,1,5,False,1d:15,2,73.9,83.3,44.18,8.55,58.66,-14.89,12.65,81.00,63.29,59.21,22.34,False,TN
15,2026-04-07T02:46:45.012Z,0.000018,129.844,True,True,2,5,True,1d:15,1,70.8,82.3,36.34,8.90,60.05,-20.86,14.31,78.30,60.28,57.46,18.25,True,TP
16,2026-04-07T02:46:48.012Z,0.000035,134.870,True,True,3,5,True,2x2,3,73.7,82.5,34.70,8.06,64.50,-22.95,16.10,77.57,59.66,58.21,13.07,True,TP
17,2026-04-07T02:46:48.516Z,0.000001,72.976,False,False,3,5,True,4x4,1,78.0,75.8,32.76,23.29,66.86,-20.60,9.43,72.34,55.40,55.13,5.48,False,FP
18,2026-04-07T02:46:53.501Z,0.000002,128.657,False,False,2,5,True,2x4,1,82.3,71.3,33.83,28.00,69.57,-18.80,10.79,67.89,55.40,55.37,1.68,True,TP
19,2026-04-07T02:46:57.502Z,0.000002,72.275,False,False,2,5,True,3x3,2,87.0,70.5,28.29,35.00,74.52,-11.22,-9.97,68.85,60.13,59.86,5.67,False,FP
20,2026-04-07T02:47:00.503Z,0.000005,136.228,True,True,2,5,True,4x4,2,83.0,65.8,24.83,34.51,71.27,-7.29,-4.88,65.25,51.18,50.83,6.02,True,TP
21,2026-04-07T02:47:04.004Z,0.000497,73.925,False,False,1,5,False,3x3,2,85.3,63.5,13.75,34.80,76.71,-5.77,-4.88,63.08,46.27,44.22,13.63,False,TN
22,2026-04-07T02:47:04.015Z,0.000024,73.415,False,False,1,5,False,2x4,2,86.4,62.9,9.48,43.73,73.91,-0.88,-6.39,62.55,52.43,51.18,11.36,False,TN
23,2026-04-07T02:47:09.001Z,0.000025,129.053,True,True,2,5,True,1d:15,2,90.5,63.6,12.55,42.19,79.08,-7.21,1.85,63.17,47.65,44.92,15.91,True,TP
24,2026-04-07T02:47:12.504Z,0.000029,75.063,False,False,2,5,True,3x3,0,86.1,67.4,14.62,37.36,76.19,-13.47,-0.53,66.05,48.24,47.17,10.14,False,FP
25,2026-04-07T02:47:14.515Z,0.000244,73.755,False,False,1,5,False,1d:2,3,89.8,67.8,18.79,40.89,77.69,-6.13,-2.79,67.42,51.33,50.29,10.27,False,TN
