fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-07T09:12:21.054Z,0.000005,129.547,True,True,1,1,False,1d:8,2,70.6,86.4,33.37,8.04,61.66,-20.95,-17.35,81.99,63.31,59.96,20.33,True,FN
1,2026-04-07T09:12:26.054Z,0.000017,73.742,False,False,1,2,False,1d:4,1,77.5,95.3,42.93,5.52,64.28,-19.84,-14.56,92.08,71.53,65.90,27.80,False,TN
2,2026-04-07T09:12:27.563Z,0.000011,71.795,False,False,1,3,False,1d:4,1,77.3,92.7,41.74,1.70,65.09,-13.44,-26.70,87.76,66.07,62.06,22.67,False,TN
3,2026-04-07T09:12:33.003Z,0.000017,129.391,True,True,2,4,True,2x2,2,80.8,88.4,43.41,-1.59,68.08,5.04,-29.07,83.33,49.60,47.20,15.25,True,TP
4,2026-04-07T09:12:36.506Z,0.000032,73.316,False,False,2,5,True,2x4,2,76.6,87.5,39.82,3.39,65.31,13.03,-29.90,81.21,45.59,42.73,15.90,False,FP
5,2026-04-07T09:12:38.060Z,0.000050,130.949,True,True,2,5,True,1d:8,2,71.5,81.4,32.51,1.00,63.70,3.82,-27.86,76.41,42.63,40.69,12.71,True,TP
6,2026-04-07T09:12:43.008Z,0.000111,72.164,False,False,2,5,True,2x4,3,76.0,86.2,27.96,6.59,70.35,2.21,-39.60,76.57,53.25,52.88,6.22,False,FP
7,2026-04-07T09:12:43.562Z,0.000003,72.118,False,False,2,5,True,2x4,2,84.7,88.9,35.07,15.15,75.56,-0.79,-39.21,79.81,65.26,65.12,4.25,False,FP
8,2026-04-07T09:12:45.057Z,0.000000,129.260,True,True,2,5,True,1d:4,1,84.4,83.9,35.45,14.90,75.11,-1.04,-32.56,77.34,59.91,59.87,2.23,True,TP
9,2026-04-07T09:12:50.509Z,0.000154,131.647,False,False,2,5,True,4x4,0,80.9,84.4,30.11,10.30,74.41,-1.09,-36.88,75.88,56.58,56.56,1.47,True,TP
10,2026-04-07T09:12:51.502Z,0.000191,71.832,False,False,1,5,False,2x2,3,90.5,89.9,44.51,6.65,78.48,2.79,-39.07,80.89,61.94,61.89,2.41,False,TN
11,2026-04-07T09:12:52.060Z,0.000057,72.189,False,False,1,5,False,1d:2,3,87.4,94.3,39.76,-0.91,77.86,4.52,-44.77,82.85,56.48,56.26,4.99,False,TN
12,2026-04-07T09:12:57.010Z,0.000160,75.382,False,False,1,5,False,1d:4,3,86.3,91.3,38.20,6.08,77.15,-12.86,-35.21,83.28,65.95,65.67,6.13,False,TN
13,2026-04-07T09:12:58.558Z,0.000159,74.312,False,False,0,5,False,2x2,2,87.3,97.3,42.22,13.96,75.16,-1.02,-36.50,90.22,68.14,66.45,15.06,False,TN
14,2026-04-07T09:13:01.058Z,0.000039,129.977,False,False,0,5,False,2x2,1,89.8,100.8,44.31,7.84,77.65,-5.51,-39.39,92.66,70.27,68.65,15.01,True,FN
15,2026-04-07T09:13:01.558Z,0.000002,130.998,True,True,1,5,False,2x2,1,89.0,104.1,44.82,3.72,76.84,-8.26,-44.14,93.93,73.49,71.47,17.09,True,FN
16,2026-04-07T09:13:06.505Z,0.000177,72.851,True,False,1,5,False,4x4,2,90.1,109.7,43.46,11.67,78.02,-1.92,-40.59,101.89,73.21,69.21,23.87,False,TN
17,2026-04-07T09:13:06.560Z,0.000010,73.878,False,False,1,5,False,3x3,1,89.2,108.9,37.42,24.55,77.15,-8.44,-37.28,101.97,80.88,76.98,24.82,False,TN
18,2026-04-07T09:13:11.554Z,0.000025,130.870,True,True,2,5,True,2x4,3,87.7,110.5,27.51,30.34,77.54,-24.47,-37.77,100.95,88.82,85.68,23.41,True,TP
19,2026-04-07T09:13:12.559Z,0.000014,73.819,False,False,2,5,True,3x3,2,84.1,107.8,27.76,26.58,74.82,-12.98,-34.82,101.15,78.25,73.69,26.33,False,FP
20,2026-04-07T09:13:15.560Z,0.000002,72.453,True,False,1,5,False,1d:8,3,83.2,101.8,31.29,20.45,74.32,-8.04,-31.53,96.42,68.83,65.18,22.10,False,TN
21,2026-04-07T09:13:21.007Z,0.000025,125.320,True,True,2,5,True,4x4,3,85.0,104.2,32.08,19.08,76.35,-18.86,-18.61,100.81,67.92,63.37,24.46,True,TP
