[CTRL] Starting...
[CTRL] Output dir: /home/diya/wildfire_sim/data_seed6/thermal_delay_50ms
[CTRL] TEMP_THRESHOLD=100.0  TIME_WINDOW=0.5s  (pair dt must be <= 0.5s AND <= 2000.0ms sync threshold)
[CTRL] Monitor: window=10.0s  stop_if_drop>50%
[MONITOR] up=589975s window=10s thermal=not_started imagery=not_started
[MONITOR] up=589985s window=10s thermal=not_started imagery=not_started
[MONITOR] up=589995s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590005s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590015s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590025s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590035s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590045s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590055s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590065s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590075s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590085s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590095s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590105s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590116s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590126s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590136s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590146s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590156s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590166s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590176s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590186s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590196s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590206s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590216s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590226s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590236s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590246s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590256s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590266s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590276s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590286s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590296s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590306s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590316s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590326s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590336s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590346s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590356s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590366s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590376s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590386s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590396s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590406s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590416s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590426s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590436s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590446s window=10s thermal=not_started imagery=not_started
