fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-15T13:32:28.003Z,0.001405,72.954,False,False,0,1,False,1d:8,1,65.7,88.9,-39.88,-33.52,40.08,-19.19,-33.92,79.87,44.85,20.69,39.79,True,FN
1,2026-04-15T13:32:29.003Z,0.000000,70.382,False,False,0,2,False,1d:2,1,63.4,88.4,-35.71,-33.94,39.89,-15.36,-34.02,80.09,45.06,20.35,40.20,True,FN
2,2026-04-15T13:32:33.003Z,0.000020,68.452,False,False,0,3,False,1d:2,3,55.5,87.0,-19.88,-33.29,39.71,-0.25,-34.02,80.10,44.91,19.64,40.39,True,FN
3,2026-04-15T13:32:34.014Z,0.000008,73.020,False,False,0,4,False,3x3,2,52.8,91.6,7.66,-33.86,39.73,27.88,-34.10,80.29,45.32,20.22,40.56,True,FN
4,2026-04-15T13:32:37.032Z,0.000007,127.983,True,True,1,5,False,4x4,3,62.0,87.5,32.52,-34.09,40.35,27.65,-21.91,80.11,41.87,13.12,39.76,True,FN
5,2026-04-15T13:32:41.503Z,0.000045,128.829,True,True,2,5,True,1d:2,2,48.6,83.1,16.99,-21.82,39.95,-4.02,-22.44,79.90,45.14,21.02,39.95,True,TP
6,2026-04-15T13:32:42.067Z,0.000007,126.907,False,False,2,5,True,1d:8,3,46.5,83.3,7.98,-21.72,40.27,-11.34,-21.40,79.76,43.96,19.32,39.49,True,TP
7,2026-04-15T13:32:46.503Z,0.000019,72.776,False,False,2,5,True,1d:15,3,51.8,88.2,-24.65,-21.77,40.06,-36.36,-10.47,79.71,42.86,16.27,39.65,True,TP
8,2026-04-15T13:32:50.501Z,0.000068,128.064,False,False,2,5,True,3x3,1,47.8,80.7,-23.90,-10.08,40.13,-4.25,-11.24,79.79,44.28,19.68,39.66,True,TP
9,2026-04-15T13:32:51.120Z,0.000011,131.385,True,True,2,5,True,1d:4,1,43.5,80.7,-15.41,-9.07,39.62,3.16,-9.93,80.04,44.49,18.59,40.42,True,TP
10,2026-04-15T13:32:55.503Z,0.000025,129.404,False,False,1,5,False,4x4,0,41.2,84.8,3.85,-10.25,39.74,24.80,-10.24,80.44,45.78,20.95,40.70,True,FN
11,2026-04-15T13:32:56.152Z,0.000000,129.932,False,False,1,5,False,2x4,0,45.5,89.4,19.40,-10.03,39.95,39.47,2.09,80.21,46.59,23.45,40.26,True,FN
12,2026-04-15T13:33:00.005Z,0.001024,135.753,True,True,2,5,True,4x4,3,47.7,88.1,23.89,-10.52,39.95,36.18,2.56,80.33,44.19,17.95,40.38,True,TP
13,2026-04-15T13:33:00.504Z,0.001097,129.686,True,True,3,5,True,3x3,2,52.0,84.7,31.71,-10.03,40.02,28.15,2.31,79.89,41.89,12.84,39.87,True,TP
14,2026-04-15T13:33:01.163Z,0.000262,132.998,True,True,3,5,True,3x3,2,43.5,79.7,16.71,1.57,40.11,-3.24,1.58,79.58,44.23,19.95,39.47,True,TP
15,2026-04-15T13:33:02.167Z,0.000055,124.994,True,True,4,5,True,1d:15,3,40.7,80.6,7.28,2.48,40.00,-11.66,1.94,79.77,44.05,18.95,39.77,True,TP
16,2026-04-15T13:33:05.192Z,0.000030,70.321,False,False,4,5,True,1d:2,0,41.4,86.3,-11.36,1.48,39.82,-32.46,1.44,80.00,45.38,21.10,40.18,True,TP
17,2026-04-15T13:33:09.002Z,0.000049,131.270,True,True,4,5,True,2x2,1,44.7,90.7,-19.95,1.21,40.00,-39.86,13.79,80.24,46.63,23.55,40.24,True,TP
18,2026-04-15T13:33:10.003Z,0.000068,129.902,True,True,4,5,True,2x4,2,53.1,82.1,-32.35,13.16,40.02,-11.89,13.31,80.12,45.02,20.46,40.10,True,TP
19,2026-04-15T13:33:13.504Z,0.000201,129.183,True,True,4,5,True,1d:4,2,48.7,82.0,-23.85,14.17,40.06,-4.29,15.02,80.53,44.96,19.58,40.47,True,TP
20,2026-04-15T13:33:14.510Z,0.000335,131.381,True,True,4,5,True,4x4,1,43.8,86.4,8.28,14.96,40.35,28.07,15.03,80.31,44.59,19.79,39.96,True,TP
21,2026-04-15T13:33:15.203Z,0.000037,131.237,False,False,4,5,True,1d:4,2,44.2,87.4,12.08,14.49,39.94,32.40,14.37,79.92,44.85,20.32,39.98,True,TP
22,2026-04-15T13:33:19.004Z,0.000066,72.387,True,False,3,5,True,2x2,3,47.1,93.0,20.31,13.97,40.10,39.64,26.18,80.00,45.99,22.86,39.90,True,TP
23,2026-04-15T13:33:20.002Z,0.001073,128.889,True,True,3,5,True,2x2,2,55.5,87.5,36.11,13.45,39.95,23.96,26.62,79.78,43.67,17.92,39.83,True,TP
24,2026-04-15T13:33:20.210Z,0.000064,72.625,False,False,2,5,True,2x4,2,53.8,83.9,24.22,26.41,40.14,3.98,25.64,79.79,44.52,20.25,39.65,True,TP
25,2026-04-15T13:33:21.212Z,0.000017,124.421,True,True,2,5,True,4x4,2,52.4,84.3,20.32,27.14,39.95,-0.24,26.16,80.16,45.17,20.58,40.21,True,TP
26,2026-04-15T13:33:25.003Z,0.000378,75.909,True,False,2,5,True,3x3,2,47.6,86.5,0.44,25.91,39.93,-19.53,25.21,80.46,45.19,19.98,40.53,True,TP
